,order,num_trees,repetition,assignment,hidden_dim,layers,accuracy
0,16,4,0,0,32,3,1.0
1,16,4,0,0,64,3,1.0
2,16,4,0,0,128,3,1.0
3,16,4,0,0,256,3,1.0
4,16,4,0,0,512,3,1.0
5,16,4,0,1,32,3,1.0
6,16,4,0,1,64,3,1.0
7,16,4,0,1,128,3,1.0
8,16,4,0,1,256,3,1.0
9,16,4,0,1,512,3,1.0
10,16,4,0,2,32,3,1.0
11,16,4,0,2,64,3,1.0
12,16,4,0,2,128,3,1.0
13,16,4,0,2,256,3,1.0
14,16,4,0,2,512,3,1.0
15,16,4,0,3,32,3,1.0
16,16,4,0,3,64,3,1.0
17,16,4,0,3,128,3,1.0
18,16,4,0,3,256,3,1.0
19,16,4,0,3,512,3,1.0
20,16,4,1,0,32,3,1.0
21,16,4,1,0,64,3,1.0
22,16,4,1,0,128,3,1.0
23,16,4,1,0,256,3,1.0
24,16,4,1,0,512,3,1.0
25,16,4,1,1,32,3,1.0
26,16,4,1,1,64,3,1.0
27,16,4,1,1,128,3,1.0
28,16,4,1,1,256,3,1.0
29,16,4,1,1,512,3,1.0
30,16,4,1,2,32,3,1.0
31,16,4,1,2,64,3,1.0
32,16,4,1,2,128,3,1.0
33,16,4,1,2,256,3,1.0
34,16,4,1,2,512,3,1.0
35,16,4,1,3,32,3,1.0
36,16,4,1,3,64,3,1.0
37,16,4,1,3,128,3,1.0
38,16,4,1,3,256,3,1.0
39,16,4,1,3,512,3,1.0
40,16,4,2,0,32,3,1.0
41,16,4,2,0,64,3,1.0
42,16,4,2,0,128,3,1.0
43,16,4,2,0,256,3,1.0
44,16,4,2,0,512,3,1.0
45,16,4,2,1,32,3,1.0
46,16,4,2,1,64,3,1.0
47,16,4,2,1,128,3,1.0
48,16,4,2,1,256,3,1.0
49,16,4,2,1,512,3,1.0
50,16,4,2,2,32,3,1.0
51,16,4,2,2,64,3,1.0
52,16,4,2,2,128,3,1.0
53,16,4,2,2,256,3,1.0
54,16,4,2,2,512,3,1.0
55,16,4,2,3,32,3,1.0
56,16,4,2,3,64,3,1.0
57,16,4,2,3,128,3,1.0
58,16,4,2,3,256,3,1.0
59,16,4,2,3,512,3,1.0
60,16,4,3,0,32,3,1.0
61,16,4,3,0,64,3,1.0
62,16,4,3,0,128,3,1.0
63,16,4,3,0,256,3,1.0
64,16,4,3,0,512,3,1.0
65,16,4,3,1,32,3,1.0
66,16,4,3,1,64,3,1.0
67,16,4,3,1,128,3,1.0
68,16,4,3,1,256,3,1.0
69,16,4,3,1,512,3,1.0
70,16,4,3,2,32,3,1.0
71,16,4,3,2,64,3,1.0
72,16,4,3,2,128,3,1.0
73,16,4,3,2,256,3,1.0
74,16,4,3,2,512,3,1.0
75,16,4,3,3,32,3,1.0
76,16,4,3,3,64,3,1.0
77,16,4,3,3,128,3,1.0
78,16,4,3,3,256,3,1.0
79,16,4,3,3,512,3,1.0
80,16,8,0,0,32,3,1.0
81,16,8,0,0,64,3,1.0
82,16,8,0,0,128,3,1.0
83,16,8,0,0,256,3,1.0
84,16,8,0,0,512,3,1.0
85,16,8,0,1,32,3,1.0
86,16,8,0,1,64,3,1.0
87,16,8,0,1,128,3,1.0
88,16,8,0,1,256,3,1.0
89,16,8,0,1,512,3,1.0
90,16,8,0,2,32,3,1.0
91,16,8,0,2,64,3,1.0
92,16,8,0,2,128,3,1.0
93,16,8,0,2,256,3,1.0
94,16,8,0,2,512,3,1.0
95,16,8,0,3,32,3,1.0
96,16,8,0,3,64,3,1.0
97,16,8,0,3,128,3,1.0
98,16,8,0,3,256,3,1.0
99,16,8,0,3,512,3,1.0
100,16,8,1,0,32,3,1.0
101,16,8,1,0,64,3,1.0
102,16,8,1,0,128,3,1.0
103,16,8,1,0,256,3,1.0
104,16,8,1,0,512,3,1.0
105,16,8,1,1,32,3,1.0
106,16,8,1,1,64,3,1.0
107,16,8,1,1,128,3,1.0
108,16,8,1,1,256,3,1.0
109,16,8,1,1,512,3,1.0
110,16,8,1,2,32,3,1.0
111,16,8,1,2,64,3,1.0
112,16,8,1,2,128,3,1.0
113,16,8,1,2,256,3,1.0
114,16,8,1,2,512,3,1.0
115,16,8,1,3,32,3,1.0
116,16,8,1,3,64,3,1.0
117,16,8,1,3,128,3,1.0
118,16,8,1,3,256,3,1.0
119,16,8,1,3,512,3,1.0
120,16,8,2,0,32,3,1.0
121,16,8,2,0,64,3,1.0
122,16,8,2,0,128,3,1.0
123,16,8,2,0,256,3,1.0
124,16,8,2,0,512,3,1.0
125,16,8,2,1,32,3,1.0
126,16,8,2,1,64,3,1.0
127,16,8,2,1,128,3,1.0
128,16,8,2,1,256,3,1.0
129,16,8,2,1,512,3,1.0
130,16,8,2,2,32,3,1.0
131,16,8,2,2,64,3,0.75
132,16,8,2,2,128,3,1.0
133,16,8,2,2,256,3,1.0
134,16,8,2,2,512,3,1.0
135,16,8,2,3,32,3,1.0
136,16,8,2,3,64,3,1.0
137,16,8,2,3,128,3,1.0
138,16,8,2,3,256,3,1.0
139,16,8,2,3,512,3,1.0
140,16,8,3,0,32,3,1.0
141,16,8,3,0,64,3,1.0
142,16,8,3,0,128,3,1.0
143,16,8,3,0,256,3,1.0
144,16,8,3,0,512,3,1.0
145,16,8,3,1,32,3,0.875
146,16,8,3,1,64,3,1.0
147,16,8,3,1,128,3,1.0
148,16,8,3,1,256,3,1.0
149,16,8,3,1,512,3,1.0
150,16,8,3,2,32,3,1.0
151,16,8,3,2,64,3,1.0
152,16,8,3,2,128,3,1.0
153,16,8,3,2,256,3,1.0
154,16,8,3,2,512,3,1.0
155,16,8,3,3,32,3,1.0
156,16,8,3,3,64,3,1.0
157,16,8,3,3,128,3,1.0
158,16,8,3,3,256,3,1.0
159,16,8,3,3,512,3,1.0
160,16,16,0,0,32,3,0.9375
161,16,16,0,0,64,3,1.0
162,16,16,0,0,128,3,1.0
163,16,16,0,0,256,3,1.0
164,16,16,0,0,512,3,1.0
165,16,16,0,1,32,3,1.0
166,16,16,0,1,64,3,1.0
167,16,16,0,1,128,3,1.0
168,16,16,0,1,256,3,1.0
169,16,16,0,1,512,3,1.0
170,16,16,0,2,32,3,1.0
171,16,16,0,2,64,3,1.0
172,16,16,0,2,128,3,1.0
173,16,16,0,2,256,3,1.0
174,16,16,0,2,512,3,1.0
175,16,16,0,3,32,3,1.0
176,16,16,0,3,64,3,1.0
177,16,16,0,3,128,3,1.0
178,16,16,0,3,256,3,1.0
179,16,16,0,3,512,3,1.0
180,16,16,1,0,32,3,1.0
181,16,16,1,0,64,3,1.0
182,16,16,1,0,128,3,1.0
183,16,16,1,0,256,3,1.0
184,16,16,1,0,512,3,1.0
185,16,16,1,1,32,3,1.0
186,16,16,1,1,64,3,1.0
187,16,16,1,1,128,3,1.0
188,16,16,1,1,256,3,1.0
189,16,16,1,1,512,3,1.0
190,16,16,1,2,32,3,1.0
191,16,16,1,2,64,3,1.0
192,16,16,1,2,128,3,1.0
193,16,16,1,2,256,3,1.0
194,16,16,1,2,512,3,1.0
195,16,16,1,3,32,3,1.0
196,16,16,1,3,64,3,1.0
197,16,16,1,3,128,3,1.0
198,16,16,1,3,256,3,1.0
199,16,16,1,3,512,3,1.0
200,16,16,2,0,32,3,1.0
201,16,16,2,0,64,3,1.0
202,16,16,2,0,128,3,1.0
203,16,16,2,0,256,3,1.0
204,16,16,2,0,512,3,1.0
205,16,16,2,1,32,3,1.0
206,16,16,2,1,64,3,1.0
207,16,16,2,1,128,3,1.0
208,16,16,2,1,256,3,1.0
209,16,16,2,1,512,3,1.0
210,16,16,2,2,32,3,1.0
211,16,16,2,2,64,3,1.0
212,16,16,2,2,128,3,1.0
213,16,16,2,2,256,3,1.0
214,16,16,2,2,512,3,1.0
215,16,16,2,3,32,3,1.0
216,16,16,2,3,64,3,1.0
217,16,16,2,3,128,3,1.0
218,16,16,2,3,256,3,1.0
219,16,16,2,3,512,3,1.0
220,16,16,3,0,32,3,1.0
221,16,16,3,0,64,3,1.0
222,16,16,3,0,128,3,1.0
223,16,16,3,0,256,3,1.0
224,16,16,3,0,512,3,1.0
225,16,16,3,1,32,3,1.0
226,16,16,3,1,64,3,1.0
227,16,16,3,1,128,3,1.0
228,16,16,3,1,256,3,1.0
229,16,16,3,1,512,3,1.0
230,16,16,3,2,32,3,1.0
231,16,16,3,2,64,3,1.0
232,16,16,3,2,128,3,1.0
233,16,16,3,2,256,3,1.0
234,16,16,3,2,512,3,1.0
235,16,16,3,3,32,3,1.0
236,16,16,3,3,64,3,1.0
237,16,16,3,3,128,3,1.0
238,16,16,3,3,256,3,1.0
239,16,16,3,3,512,3,1.0
240,32,4,0,0,32,3,1.0
241,32,4,0,0,64,3,1.0
242,32,4,0,0,128,3,1.0
243,32,4,0,0,256,3,1.0
244,32,4,0,0,512,3,1.0
245,32,4,0,1,32,3,1.0
246,32,4,0,1,64,3,1.0
247,32,4,0,1,128,3,1.0
248,32,4,0,1,256,3,1.0
249,32,4,0,1,512,3,1.0
250,32,4,0,2,32,3,1.0
251,32,4,0,2,64,3,1.0
252,32,4,0,2,128,3,1.0
253,32,4,0,2,256,3,1.0
254,32,4,0,2,512,3,1.0
255,32,4,0,3,32,3,1.0
256,32,4,0,3,64,3,1.0
257,32,4,0,3,128,3,1.0
258,32,4,0,3,256,3,1.0
259,32,4,0,3,512,3,1.0
260,32,4,1,0,32,3,1.0
261,32,4,1,0,64,3,1.0
262,32,4,1,0,128,3,1.0
263,32,4,1,0,256,3,1.0
264,32,4,1,0,512,3,1.0
265,32,4,1,1,32,3,1.0
266,32,4,1,1,64,3,1.0
267,32,4,1,1,128,3,1.0
268,32,4,1,1,256,3,1.0
269,32,4,1,1,512,3,1.0
270,32,4,1,2,32,3,1.0
271,32,4,1,2,64,3,1.0
272,32,4,1,2,128,3,1.0
273,32,4,1,2,256,3,1.0
274,32,4,1,2,512,3,1.0
275,32,4,1,3,32,3,1.0
276,32,4,1,3,64,3,1.0
277,32,4,1,3,128,3,1.0
278,32,4,1,3,256,3,1.0
279,32,4,1,3,512,3,1.0
280,32,4,2,0,32,3,1.0
281,32,4,2,0,64,3,1.0
282,32,4,2,0,128,3,1.0
283,32,4,2,0,256,3,1.0
284,32,4,2,0,512,3,1.0
285,32,4,2,1,32,3,1.0
286,32,4,2,1,64,3,1.0
287,32,4,2,1,128,3,1.0
288,32,4,2,1,256,3,1.0
289,32,4,2,1,512,3,1.0
290,32,4,2,2,32,3,1.0
291,32,4,2,2,64,3,1.0
292,32,4,2,2,128,3,1.0
293,32,4,2,2,256,3,1.0
294,32,4,2,2,512,3,1.0
295,32,4,2,3,32,3,1.0
296,32,4,2,3,64,3,1.0
297,32,4,2,3,128,3,1.0
298,32,4,2,3,256,3,1.0
299,32,4,2,3,512,3,1.0
300,32,4,3,0,32,3,1.0
301,32,4,3,0,64,3,1.0
302,32,4,3,0,128,3,1.0
303,32,4,3,0,256,3,1.0
304,32,4,3,0,512,3,1.0
305,32,4,3,1,32,3,1.0
306,32,4,3,1,64,3,1.0
307,32,4,3,1,128,3,1.0
308,32,4,3,1,256,3,1.0
309,32,4,3,1,512,3,1.0
310,32,4,3,2,32,3,1.0
311,32,4,3,2,64,3,1.0
312,32,4,3,2,128,3,1.0
313,32,4,3,2,256,3,1.0
314,32,4,3,2,512,3,1.0
315,32,4,3,3,32,3,1.0
316,32,4,3,3,64,3,1.0
317,32,4,3,3,128,3,1.0
318,32,4,3,3,256,3,1.0
319,32,4,3,3,512,3,1.0
320,32,8,0,0,32,3,1.0
321,32,8,0,0,64,3,1.0
322,32,8,0,0,128,3,1.0
323,32,8,0,0,256,3,1.0
324,32,8,0,0,512,3,1.0
325,32,8,0,1,32,3,1.0
326,32,8,0,1,64,3,1.0
327,32,8,0,1,128,3,1.0
328,32,8,0,1,256,3,1.0
329,32,8,0,1,512,3,1.0
330,32,8,0,2,32,3,1.0
331,32,8,0,2,64,3,1.0
332,32,8,0,2,128,3,1.0
333,32,8,0,2,256,3,1.0
334,32,8,0,2,512,3,1.0
335,32,8,0,3,32,3,1.0
336,32,8,0,3,64,3,1.0
337,32,8,0,3,128,3,1.0
338,32,8,0,3,256,3,1.0
339,32,8,0,3,512,3,1.0
340,32,8,1,0,32,3,1.0
341,32,8,1,0,64,3,1.0
342,32,8,1,0,128,3,1.0
343,32,8,1,0,256,3,1.0
344,32,8,1,0,512,3,1.0
345,32,8,1,1,32,3,0.875
346,32,8,1,1,64,3,1.0
347,32,8,1,1,128,3,1.0
348,32,8,1,1,256,3,1.0
349,32,8,1,1,512,3,1.0
350,32,8,1,2,32,3,1.0
351,32,8,1,2,64,3,1.0
352,32,8,1,2,128,3,1.0
353,32,8,1,2,256,3,1.0
354,32,8,1,2,512,3,1.0
355,32,8,1,3,32,3,1.0
356,32,8,1,3,64,3,1.0
357,32,8,1,3,128,3,1.0
358,32,8,1,3,256,3,1.0
359,32,8,1,3,512,3,1.0
360,32,8,2,0,32,3,1.0
361,32,8,2,0,64,3,0.625
362,32,8,2,0,128,3,1.0
363,32,8,2,0,256,3,1.0
364,32,8,2,0,512,3,1.0
365,32,8,2,1,32,3,0.875
366,32,8,2,1,64,3,1.0
367,32,8,2,1,128,3,1.0
368,32,8,2,1,256,3,1.0
369,32,8,2,1,512,3,1.0
370,32,8,2,2,32,3,1.0
371,32,8,2,2,64,3,1.0
372,32,8,2,2,128,3,1.0
373,32,8,2,2,256,3,1.0
374,32,8,2,2,512,3,1.0
375,32,8,2,3,32,3,1.0
376,32,8,2,3,64,3,1.0
377,32,8,2,3,128,3,1.0
378,32,8,2,3,256,3,1.0
379,32,8,2,3,512,3,1.0
380,32,8,3,0,32,3,1.0
381,32,8,3,0,64,3,1.0
382,32,8,3,0,128,3,1.0
383,32,8,3,0,256,3,1.0
384,32,8,3,0,512,3,1.0
385,32,8,3,1,32,3,1.0
386,32,8,3,1,64,3,1.0
387,32,8,3,1,128,3,1.0
388,32,8,3,1,256,3,1.0
389,32,8,3,1,512,3,1.0
390,32,8,3,2,32,3,0.875
391,32,8,3,2,64,3,0.875
392,32,8,3,2,128,3,0.875
393,32,8,3,2,256,3,1.0
394,32,8,3,2,512,3,1.0
395,32,8,3,3,32,3,1.0
396,32,8,3,3,64,3,1.0
397,32,8,3,3,128,3,1.0
398,32,8,3,3,256,3,1.0
399,32,8,3,3,512,3,1.0
400,32,16,0,0,32,3,0.875
401,32,16,0,0,64,3,1.0
402,32,16,0,0,128,3,1.0
403,32,16,0,0,256,3,1.0
404,32,16,0,0,512,3,1.0
405,32,16,0,1,32,3,1.0
406,32,16,0,1,64,3,1.0
407,32,16,0,1,128,3,1.0
408,32,16,0,1,256,3,1.0
409,32,16,0,1,512,3,1.0
410,32,16,0,2,32,3,0.9375
411,32,16,0,2,64,3,1.0
412,32,16,0,2,128,3,0.9375
413,32,16,0,2,256,3,1.0
414,32,16,0,2,512,3,1.0
415,32,16,0,3,32,3,1.0
416,32,16,0,3,64,3,1.0
417,32,16,0,3,128,3,1.0
418,32,16,0,3,256,3,1.0
419,32,16,0,3,512,3,1.0
420,32,16,1,0,32,3,1.0
421,32,16,1,0,64,3,1.0
422,32,16,1,0,128,3,1.0
423,32,16,1,0,256,3,1.0
424,32,16,1,0,512,3,1.0
425,32,16,1,1,32,3,0.8125
426,32,16,1,1,64,3,0.8125
427,32,16,1,1,128,3,0.8125
428,32,16,1,1,256,3,0.8125
429,32,16,1,1,512,3,1.0
430,32,16,1,2,32,3,0.8125
431,32,16,1,2,64,3,0.8125
432,32,16,1,2,128,3,0.8125
433,32,16,1,2,256,3,0.8125
434,32,16,1,2,512,3,0.9375
435,32,16,1,3,32,3,0.8125
436,32,16,1,3,64,3,0.8125
437,32,16,1,3,128,3,1.0
438,32,16,1,3,256,3,0.875
439,32,16,1,3,512,3,1.0
440,32,16,2,0,32,3,0.875
441,32,16,2,0,64,3,1.0
442,32,16,2,0,128,3,0.8125
443,32,16,2,0,256,3,1.0
444,32,16,2,0,512,3,1.0
445,32,16,2,1,32,3,0.75
446,32,16,2,1,64,3,0.875
447,32,16,2,1,128,3,0.75
448,32,16,2,1,256,3,0.9375
449,32,16,2,1,512,3,1.0
450,32,16,2,2,32,3,0.6875
451,32,16,2,2,64,3,0.75
452,32,16,2,2,128,3,0.75
453,32,16,2,2,256,3,0.8125
454,32,16,2,2,512,3,1.0
455,32,16,2,3,32,3,0.9375
456,32,16,2,3,64,3,1.0
457,32,16,2,3,128,3,1.0
458,32,16,2,3,256,3,1.0
459,32,16,2,3,512,3,1.0
460,32,16,3,0,32,3,1.0
461,32,16,3,0,64,3,0.8125
462,32,16,3,0,128,3,0.8125
463,32,16,3,0,256,3,1.0
464,32,16,3,0,512,3,1.0
465,32,16,3,1,32,3,0.75
466,32,16,3,1,64,3,0.875
467,32,16,3,1,128,3,0.875
468,32,16,3,1,256,3,0.875
469,32,16,3,1,512,3,1.0
470,32,16,3,2,32,3,0.9375
471,32,16,3,2,64,3,0.9375
472,32,16,3,2,128,3,0.875
473,32,16,3,2,256,3,0.9375
474,32,16,3,2,512,3,1.0
475,32,16,3,3,32,3,0.6875
476,32,16,3,3,64,3,0.6875
477,32,16,3,3,128,3,0.875
478,32,16,3,3,256,3,0.875
479,32,16,3,3,512,3,1.0
480,32,32,0,0,32,3,0.75
481,32,32,0,0,64,3,0.90625
482,32,32,0,0,128,3,0.625
483,32,32,0,0,256,3,0.78125
484,32,32,0,0,512,3,1.0
485,32,32,0,1,32,3,0.625
486,32,32,0,1,64,3,0.75
487,32,32,0,1,128,3,0.75
488,32,32,0,1,256,3,0.8125
489,32,32,0,1,512,3,1.0
490,32,32,0,2,32,3,0.78125
491,32,32,0,2,64,3,0.75
492,32,32,0,2,128,3,0.78125
493,32,32,0,2,256,3,0.90625
494,32,32,0,2,512,3,1.0
495,32,32,0,3,32,3,0.84375
496,32,32,0,3,64,3,0.875
497,32,32,0,3,128,3,0.84375
498,32,32,0,3,256,3,1.0
499,32,32,0,3,512,3,1.0
500,32,32,1,0,32,3,0.8125
501,32,32,1,0,64,3,0.8125
502,32,32,1,0,128,3,0.84375
503,32,32,1,0,256,3,1.0
504,32,32,1,0,512,3,1.0
505,32,32,1,1,32,3,0.84375
506,32,32,1,1,64,3,0.6875
507,32,32,1,1,128,3,1.0
508,32,32,1,1,256,3,1.0
509,32,32,1,1,512,3,1.0
510,32,32,1,2,32,3,0.78125
511,32,32,1,2,64,3,0.78125
512,32,32,1,2,128,3,0.78125
513,32,32,1,2,256,3,0.875
514,32,32,1,2,512,3,0.9375
515,32,32,1,3,32,3,0.84375
516,32,32,1,3,64,3,0.84375
517,32,32,1,3,128,3,0.8125
518,32,32,1,3,256,3,1.0
519,32,32,1,3,512,3,1.0
520,32,32,2,0,32,3,0.78125
521,32,32,2,0,64,3,0.65625
522,32,32,2,0,128,3,0.71875
523,32,32,2,0,256,3,0.78125
524,32,32,2,0,512,3,1.0
525,32,32,2,1,32,3,0.71875
526,32,32,2,1,64,3,0.6875
527,32,32,2,1,128,3,0.78125
528,32,32,2,1,256,3,1.0
529,32,32,2,1,512,3,1.0
530,32,32,2,2,32,3,0.75
531,32,32,2,2,64,3,0.71875
532,32,32,2,2,128,3,0.875
533,32,32,2,2,256,3,1.0
534,32,32,2,2,512,3,1.0
535,32,32,2,3,32,3,0.6875
536,32,32,2,3,64,3,0.75
537,32,32,2,3,128,3,0.84375
538,32,32,2,3,256,3,0.6875
539,32,32,2,3,512,3,1.0
540,32,32,3,0,32,3,0.78125
541,32,32,3,0,64,3,0.71875
542,32,32,3,0,128,3,0.71875
543,32,32,3,0,256,3,0.78125
544,32,32,3,0,512,3,0.8125
545,32,32,3,1,32,3,0.6875
546,32,32,3,1,64,3,0.6875
547,32,32,3,1,128,3,0.875
548,32,32,3,1,256,3,1.0
549,32,32,3,1,512,3,1.0
550,32,32,3,2,32,3,0.9375
551,32,32,3,2,64,3,0.9375
552,32,32,3,2,128,3,0.90625
553,32,32,3,2,256,3,0.90625
554,32,32,3,2,512,3,1.0
555,32,32,3,3,32,3,0.625
556,32,32,3,3,64,3,0.6875
557,32,32,3,3,128,3,0.78125
558,32,32,3,3,256,3,0.875
559,32,32,3,3,512,3,1.0
560,32,64,0,0,32,3,0.65625
561,32,64,0,0,64,3,0.765625
562,32,64,0,0,128,3,0.671875
563,32,64,0,0,256,3,0.796875
564,32,64,0,0,512,3,1.0
565,32,64,0,1,32,3,0.640625
566,32,64,0,1,64,3,0.640625
567,32,64,0,1,128,3,0.65625
568,32,64,0,1,256,3,0.78125
569,32,64,0,1,512,3,1.0
570,32,64,0,2,32,3,0.734375
571,32,64,0,2,64,3,0.765625
572,32,64,0,2,128,3,0.765625
573,32,64,0,2,256,3,0.875
574,32,64,0,2,512,3,1.0
575,32,64,0,3,32,3,0.625
576,32,64,0,3,64,3,0.640625
577,32,64,0,3,128,3,0.8125
578,32,64,0,3,256,3,0.890625
579,32,64,0,3,512,3,1.0
